StudentID,attendance_risk,marks_risk,attempts_risk,fees_risk,dropout_risk
2326-103,G,G,G,G,G
2326-104,G,O,O,R,R
2326-105,R,O,O,G,R
2326-106,O,G,G,R,R
2326-107,R,O,O,R,R
2326-108,R,O,G,O,R
2326-109,G,G,O,R,R
2326-110,R,O,G,R,R
2326-111,R,G,G,O,R
2326-112,R,G,O,O,R
2326-113,G,O,G,G,G
2326-114,R,O,O,O,R
2326-115,O,G,O,R,R
2326-116,G,O,O,R,R
2326-117,R,O,G,R,R
2326-118,R,G,O,O,R
2326-119,G,G,O,G,G
2326-120,R,O,O,R,R
2326-121,G,G,O,G,G
2326-122,G,O,O,O,O
2326-123,G,G,O,O,O
2326-124,G,G,G,R,R
2326-125,R,O,G,G,R
2326-126,R,G,G,G,R
2326-127,R,O,O,R,R
2326-128,G,G,O,G,G
2326-129,R,O,O,R,R
2326-130,R,G,G,O,R
2326-131,R,G,O,R,R
2326-132,R,O,O,R,R
2326-133,O,G,G,O,R
2326-134,R,O,O,R,R
2326-135,G,O,O,R,R
2326-136,G,O,G,R,R
2326-137,G,G,O,R,R
2326-138,G,G,G,R,R
2326-139,R,G,O,R,R
2326-140,R,O,G,G,R
2326-141,G,O,O,R,R
2326-142,R,O,O,O,R
2326-143,R,G,O,R,R
2326-144,R,G,O,R,R
2326-145,O,O,O,R,R
2326-146,R,G,O,R,R
2326-147,O,O,O,R,R
2326-148,R,O,O,R,R
2326-149,R,G,O,R,R
2326-150,R,G,O,R,R
2326-151,O,O,O,R,R
2326-152,R,O,G,O,R
2326-153,R,G,O,R,R
2326-154,O,G,G,G,G
2326-155,R,G,O,O,R
2326-156,R,G,O,R,R
2326-157,R,O,G,R,R
2326-158,O,O,O,R,R
2326-159,R,O,O,R,R
2326-160,O,O,O,R,R
2326-161,R,G,O,O,R
2326-162,G,O,G,R,R
2326-163,R,O,G,G,R
2326-164,R,O,O,R,R
2326-165,G,O,O,R,R
2326-166,O,G,G,O,O
2326-167,R,G,G,R,R
2326-168,R,O,G,R,R
2326-169,G,G,O,R,R
2326-170,R,O,O,R,R
2326-171,R,O,O,G,R
2326-172,R,O,O,R,R
2326-173,O,O,G,R,R
2326-174,R,O,O,R,R
2326-175,G,O,O,R,R
2326-176,O,G,O,R,R
2326-177,G,G,G,R,R
2326-178,R,G,O,G,R
2326-179,R,O,G,R,R
2326-180,R,O,G,O,R
2326-181,G,O,O,R,R
2326-182,O,G,G,R,R
2326-183,G,O,O,R,R
2326-184,R,O,O,R,R
2326-185,R,G,O,G,R
2326-186,O,G,G,G,G
2326-187,R,O,O,R,R
2326-188,O,G,G,R,R
2326-189,G,G,O,R,R
2326-190,G,O,O,O,O
2326-191,G,G,O,G,G
2326-192,R,O,G,R,R
2326-193,R,O,G,R,R
2326-194,R,O,O,R,R
2326-195,G,O,O,R,R
2326-196,G,O,O,R,R
2326-197,R,O,O,R,R
2326-198,R,G,O,O,R
2326-199,R,O,O,O,R
2326-200,R,O,G,R,R
